Date,District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9
01/01/2017,89.71,45.02,123.16,81.82,79.82,75.96,19.51,44.81,23.43
01/02/2017,89.71,45.02,123.16,81.82,79.82,75.96,19.51,44.81,23.43
01/03/2017,90.7,45.99,123.95,82.14,80.71,76.44,19.17,43.64,24.31
01/04/2017,91.55,44.9,124.5,84.43,82.92,78.13,19.32,44.15,23.48
01/05/2017,92.88,47.56,124.9,80.83,80.85,77.85,18,41.22,22.65
01/06/2017,88.72,44.04,122.36,81.5,78.93,75.47,19.85,45.98,22.54
01/07/2017,90.01,45.16,122.26,81.79,80.96,75.25,20.29,45.11,23.59
01/08/2017,90.01,45.16,122.26,81.79,80.96,75.25,20.29,45.11,23.59
01/09/2017,91.3,46.27,122.15,82.07,82.98,75.03,20.72,44.24,24.63
01/10/2017,91.75,44.18,121.74,84.77,82.25,76.52,18.33,43.15,22.85
01/11/2017,88.64,45.63,123.76,82.07,79.84,77.91,17.67,45.88,26.82
01/12/2017,92.75,43.18,122.59,82.36,80.62,76.72,21.04,44.1,24.74
01/13/2017,90.64,46.52,123.96,80.34,78.48,77.84,19.18,41.89,22.66
01/14/2017,91.2,46.4,124.5,80.22,79.77,78.13,18.64,43.87,22.35
01/15/2017,91.2,46.4,124.5,80.22,79.77,78.13,18.64,43.87,22.35
01/16/2017,91.76,46.27,125.04,80.09,81.06,78.42,18.09,45.85,22.04
01/17/2017,88.75,45.62,125.68,80.25,82.69,78.26,17.11,42.68,26.41
01/18/2017,90.63,44.76,123.94,82.6,78.61,76.4,17.16,43.07,23.91
01/19/2017,91.22,43.46,124.49,82.03,82.76,74.19,19.82,41.48,24.52
01/20/2017,91.73,45.05,124.76,82.36,81.74,76.15,19.29,43.05,25.16
01/21/2017,91.73,45.05,124.76,82.36,81.74,76.15,19.29,43.05,25.16
01/22/2017,91.73,45.05,124.76,82.36,81.74,76.15,19.29,43.05,25.16
01/23/2017,92.23,46.64,125.03,82.69,80.71,78.11,18.76,44.61,25.79
01/24/2017,92.02,46.46,121.88,83.79,82.52,78.98,20.4,43.1,23.32
01/25/2017,91.4,47.31,125.74,81.18,80.1,75.9,21.16,44.46,25.33
01/26/2017,93.26,47.38,124.64,73.14,81.26,77.27,20.27,43.81,25.36
01/27/2017,93.26,47.38,124.64,73.14,81.26,77.27,20.27,43.81,25.36
01/28/2017,93.26,47.38,124.64,73.14,81.26,77.27,20.27,43.81,25.36
